"Date","Price","Open","High","Low","Vol.","Change %"
"12/18/2022","1,220.44","1,187.17","1,229.34","1,152.53","2.15M","2.80%"
"12/11/2022","1,187.15","1,266.34","1,348.41","1,156.86","3.67M","-6.27%"
"12/04/2022","1,266.61","1,240.11","1,303.84","1,221.10","2.59M","2.11%"
"11/27/2022","1,240.44","1,205.23","1,304.93","1,151.99","3.28M","2.93%"
"11/20/2022","1,205.14","1,217.25","1,229.16","1,077.90","4.15M","-1.03%"
"11/13/2022","1,217.67","1,256.95","1,289.21","1,175.37","3.46M","-3.07%"
"11/06/2022","1,256.22","1,626.78","1,637.29","1,076.30","10.43M","-22.79%"
"10/30/2022","1,627.00","1,619.92","1,666.22","1,503.34","5.25M","0.46%"
"10/23/2022","1,619.61","1,314.04","1,660.00","1,301.77","5.93M","23.29%"
"10/16/2022","1,313.62","1,274.67","1,341.21","1,257.94","3.05M","3.03%"
"10/09/2022","1,274.93","1,315.28","1,342.04","1,196.64","3.59M","-3.05%"
"10/02/2022","1,315.05","1,311.79","1,382.99","1,266.93","3.36M","0.25%"
"09/25/2022","1,311.78","1,316.85","1,399.49","1,261.29","5.30M","-0.40%"
"09/18/2022","1,317.00","1,469.13","1,469.13","1,222.32","6.47M","-10.33%"
"09/11/2022","1,468.69","1,775.84","1,786.76","1,409.44","5.64M","-17.23%"
"09/04/2022","1,774.35","1,557.35","1,788.04","1,493.38","4.99M","13.92%"
"08/28/2022","1,557.57","1,491.07","1,647.58","1,424.49","5.89M","4.48%"
"08/21/2022","1,490.76","1,576.03","1,720.89","1,449.19","6.32M","-5.38%"
"08/14/2022","1,575.58","1,983.08","2,028.43","1,525.49","6.50M","-20.57%"
"08/07/2022","1,983.54","1,690.64","2,019.01","1,657.55","5.92M","17.33%"
"07/31/2022","1,690.56","1,697.31","1,753.41","1,559.54","6.11M","-0.31%"
"07/24/2022","1,695.79","1,548.90","1,781.37","1,357.70","9.13M","9.44%"
"07/17/2022","1,549.56","1,355.83","1,645.01","1,323.20","10.05M","14.28%"
"07/10/2022","1,355.97","1,217.12","1,399.56","1,012.57","10.02M","11.43%"
"07/03/2022","1,216.93","1,067.52","1,275.99","1,041.71","7.76M","14.09%"
"06/26/2022","1,066.62","1,242.64","1,276.78","1,000.89","8.48M","-14.11%"
"06/19/2022","1,241.80","994.81","1,255.68","938.34","10.28M","24.73%"
"06/12/2022","995.58","1,533.29","1,541.83","883.62","14.79M","-34.99%"
"06/05/2022","1,531.39","1,806.15","1,919.35","1,503.11","5.90M","-15.14%"
"05/29/2022","1,804.57","1,792.79","2,015.00","1,741.14","5.29M","0.69%"
"05/22/2022","1,792.22","1,974.80","2,086.17","1,707.56","5.72M","-9.26%"
"05/15/2022","1,975.16","2,056.48","2,161.29","1,903.70","4.42M","-3.95%"
"05/08/2022","2,056.34","2,635.54","2,641.71","1,800.00","10.42M","-21.99%"
"05/01/2022","2,636.02","2,728.62","2,963.50","2,588.99","4.02M","-3.34%"
"04/24/2022","2,727.10","2,931.49","3,032.35","2,715.95","3.45M","-6.99%"
"04/17/2022","2,931.94","3,061.34","3,176.64","2,887.77","2.98M","-4.15%"
"04/10/2022","3,058.82","3,259.73","3,305.97","2,951.78","2.83M","-6.17%"
"04/03/2022","3,260.00","3,446.00","3,579.96","3,143.57","3.43M","-5.30%"
"03/27/2022","3,442.29","3,144.50","3,529.92","3,126.39","3.24M","9.42%"
"03/20/2022","3,146.08","2,950.91","3,192.73","2,819.29","3.38M","6.66%"
"03/13/2022","2,949.67","2,567.87","2,984.00","2,494.59","8.97B","14.78%"
"03/06/2022","2,569.80","2,665.15","2,772.09","2,447.74","9.41B","-3.59%"
"02/27/2022","2,665.42","2,779.56","3,041.47","2,563.00","2.80B","-4.00%"
"02/20/2022","2,776.37","2,764.39","2,856.11","2,302.82","5.13M","0.46%"
"02/13/2022","2,763.76","2,915.72","3,193.04","2,700.13","2.87M","-5.25%"
"02/06/2022","2,916.88","3,016.80","3,276.46","2,858.57","3.06M","-3.21%"
"01/30/2022","3,013.48","2,600.91","3,058.84","2,478.70","3.33M","15.89%"
"01/23/2022","2,600.33","2,412.75","2,719.55","2,161.68","4.59M","7.79%"
"01/16/2022","2,412.48","3,326.25","3,387.99","2,314.30","3.53M","-27.51%"
"01/09/2022","3,328.08","3,080.01","3,407.33","2,932.51","2.44M","8.07%"
"01/02/2022","3,079.66","3,765.75","3,888.86","3,001.63","2.91M","-18.21%"
"12/26/2021","3,765.36","4,095.72","4,125.11","3,588.14","1.85M","-8.00%"
"12/19/2021","4,092.69","3,959.00","4,148.85","3,757.35","2.15M","3.36%"
"12/12/2021","3,959.77","4,089.38","4,173.15","3,648.77","3.06M","-2.83%"
"12/05/2021","4,075.23","4,123.56","4,482.76","3,837.15","3.74M","-1.04%"
"11/28/2021","4,118.06","4,094.97","4,778.00","3,561.06","3.85M","0.60%"
"11/21/2021","4,093.56","4,412.18","4,549.18","3,916.62","3.69M","-7.13%"
"11/14/2021","4,408.00","4,644.94","4,770.01","3,958.35","3.22M","-5.09%"
"11/07/2021","4,644.58","4,516.46","4,864.13","4,502.38","2.70M","2.82%"
"10/31/2021","4,517.27","4,327.99","4,661.14","4,158.07","2.73M","4.53%"
"10/24/2021","4,321.56","4,171.99","4,459.04","3,895.91","3.49M","3.66%"
"10/17/2021","4,168.78","3,829.47","4,365.70","3,666.11","3.36M","8.90%"
"10/10/2021","3,828.25","3,573.89","3,967.73","3,382.58","3.36M","7.11%"
"10/03/2021","3,574.23","3,390.74","3,668.14","3,272.33","3.15M","5.49%"
"09/26/2021","3,388.26","2,923.34","3,468.30","2,739.59","3.95M","15.96%"
"09/19/2021","2,921.91","3,435.60","3,455.36","2,662.50","5.22M","-14.97%"
"09/12/2021","3,436.22","3,261.32","3,672.93","3,117.75","3.13M","5.17%"
"09/05/2021","3,267.27","3,886.77","3,979.00","3,029.27","4.65M","-15.90%"
"08/29/2021","3,885.00","3,244.64","4,025.06","3,145.69","4.48M","19.76%"
"08/22/2021","3,244.01","3,224.07","3,375.02","3,055.01","3.36M","0.62%"
"08/15/2021","3,223.91","3,264.56","3,334.22","2,951.04","217.79K","-1.25%"
"08/08/2021","3,264.69","3,158.30","3,328.38","2,899.24","209.06K","3.38%"
"08/01/2021","3,158.00","2,530.94","3,169.74","2,445.49","237.24K","24.88%"
"07/25/2021","2,528.85","2,176.17","2,552.09","2,108.72","267.84K","17.56%"
"07/18/2021","2,151.19","1,898.35","2,166.87","1,719.48","267.63K","13.26%"
"07/11/2021","1,899.28","2,110.69","2,172.80","1,849.44","231.59K","-10.01%"
"07/04/2021","2,110.48","2,325.37","2,396.83","2,049.32","395.81K","-5.07%"
"06/27/2021","2,223.15","1,830.73","2,242.80","1,826.90","648.81K","21.43%"
"06/20/2021","1,830.86","2,164.72","2,164.72","1,765.13","962.69K","-15.45%"
"06/13/2021","2,165.40","2,369.70","2,583.29","2,165.40","359.33K","-8.58%"
"06/06/2021","2,368.74","2,628.13","2,775.62","2,290.57","546.66K","-9.89%"
"05/30/2021","2,628.85","2,279.18","2,829.02","2,279.18","1.08M","15.39%"
"05/23/2021","2,278.15","2,294.41","2,846.07","2,014.34","3.24M","-0.66%"
"05/16/2021","2,293.37","3,645.65","3,831.95","2,293.37","3.23M","-37.08%"
"05/09/2021","3,645.15","3,907.53","4,352.11","3,645.15","843.92K","-6.71%"
"05/02/2021","3,907.53","2,944.09","3,907.53","2,912.03","631.15K","32.72%"
"04/25/2021","2,944.09","2,215.03","2,944.09","2,215.03","717.14K","33.09%"
"04/18/2021","2,212.13","2,316.56","2,583.38","2,124.61","1.78M","-4.48%"
"04/11/2021","2,315.96","2,126.89","2,464.58","2,126.89","594.40K","8.96%"
"04/04/2021","2,125.43","2,007.82","2,169.46","1,996.20","135.71K","5.85%"
"03/28/2021","2,007.98","1,711.85","2,118.75","1,703.03","143.26K","17.30%"
"03/21/2021","1,711.84","1,805.54","1,805.54","1,558.99","148.65K","-5.17%"
"03/14/2021","1,805.25","1,922.48","1,922.48","1,725.16","173.63K","-6.08%"
"03/07/2021","1,922.10","1,652.04","1,922.10","1,652.04","265.63K","16.55%"
"02/28/2021","1,649.23","1,457.94","1,649.23","1,353.89","383.93K","13.10%"
"02/21/2021","1,458.20","1,915.74","1,956.64","1,444.13","458.06K","-23.88%"
"02/14/2021","1,915.74","1,815.05","2,012.66","1,765.68","91.13K","5.57%"
"02/07/2021","1,814.61","1,677.70","1,849.83","1,575.94","170.92K","8.20%"
"01/31/2021","1,677.06","1,375.97","1,735.11","1,315.52","219.85K","21.88%"
"01/24/2021","1,375.95","1,233.22","1,415.69","1,233.22","416.83K","11.57%"
"01/17/2021","1,233.22","1,228.50","1,389.97","1,110.07","770.39K","0.38%"
"01/10/2021","1,228.51","1,333.96","1,339.14","984.99","908.71K","2.19%"
"01/03/2021","1,202.23","774.56","1,202.23","774.56","487.22K","55.22%"
"12/27/2020","774.55","636.67","779.01","636.67","1.05M","21.70%"
"12/20/2020","636.44","658.28","658.28","575.67","987.64K","-3.32%"
