"Date","Price","Open","High","Low","Vol.","Change %"
"01/13/2025","0.9442","0.9674","0.9927","0.8845","347.78M","0.46%"
"01/11/2025","0.9399","0.9304","0.9501","0.9139","158.33M","1.02%"
"01/10/2025","0.9304","0.9043","0.9736","0.9043","267.19M","2.89%"
"01/09/2025","0.9043","0.9471","0.9585","0.8812","298.53M","-4.52%"
"01/08/2025","0.9472","0.9892","1.0233","0.9107","442.20M","-4.25%"
"01/07/2025","0.9892","1.0935","1.1509","0.9892","429.61M","-9.54%"
"01/06/2025","1.0935","1.0910","1.1149","1.0646","228.09M","0.23%"
"01/05/2025","1.0910","1.0706","1.1095","1.0526","210.33M","1.91%"
"01/04/2025","1.0705","1.0891","1.1136","1.0566","213.50M","-1.71%"
"01/03/2025","1.0891","0.9618","1.1184","0.9578","455.37M","13.23%"
"01/02/2025","0.9618","0.9211","0.9813","0.9211","250.44M","4.43%"
"01/01/2025","0.9211","0.8453","0.9349","0.8383","216.35M","8.96%"
"12/31/2024","0.8453","0.8615","0.8782","0.8405","155.74M","-1.87%"
"12/30/2024","0.8614","0.8589","0.9043","0.8307","224.97M","0.30%"
"12/29/2024","0.8589","0.8895","0.9120","0.8517","142.98M","-3.44%"
"12/28/2024","0.8895","0.8769","0.8995","0.8665","113.73M","1.44%"
"12/27/2024","0.8769","0.8610","0.9141","0.8554","202.55M","1.84%"
"12/26/2024","0.8610","0.9174","0.9278","0.8514","169.58M","-6.14%"
"12/25/2024","0.9174","0.9358","0.9398","0.9010","127.95M","-1.97%"
"12/24/2024","0.9358","0.9264","0.9500","0.8922","206.04M","1.00%"
"12/23/2024","0.9265","0.8839","0.9418","0.8627","280.88M","4.83%"
"12/22/2024","0.8838","0.9045","0.9245","0.8601","278.38M","-2.29%"
"12/21/2024","0.9045","0.9511","0.9974","0.8872","337.50M","-4.89%"
"12/20/2024","0.9510","0.8810","0.9584","0.7627","667.68M","7.94%"
"12/19/2024","0.8810","0.9698","0.9886","0.8502","506.81M","-9.15%"
"12/18/2024","0.9697","1.0511","1.0590","0.9644","439.40M","-7.73%"
"12/17/2024","1.0510","1.0778","1.1111","1.0429","325.99M","-2.49%"
"12/16/2024","1.0778","1.0993","1.1192","1.0475","292.52M","-1.95%"
"12/15/2024","1.0993","1.0612","1.1113","1.0408","192.38M","3.59%"
"12/14/2024","1.0612","1.1209","1.1324","1.0443","197.24M","-5.31%"
"12/13/2024","1.1207","1.1232","1.1296","1.0794","248.44M","-0.22%"
"12/12/2024","1.1232","1.0870","1.1816","1.0735","420.91M","3.33%"
"12/11/2024","1.0870","1.0216","1.1140","0.9733","445.02M","6.40%"
"12/10/2024","1.0216","1.0068","1.0376","0.9115","746.58M","1.47%"
"12/09/2024","1.0068","1.1933","1.1933","0.9165","715.37M","-15.63%"
"12/08/2024","1.1933","1.2105","1.2236","1.1741","315.11M","-1.42%"
"12/07/2024","1.2105","1.2275","1.2360","1.1886","223.81M","-1.38%"
"12/06/2024","1.2275","1.1598","1.2363","1.1354","396.86M","5.74%"
"12/05/2024","1.1609","1.1863","1.2410","1.1219","518.37M","-2.14%"
"12/04/2024","1.1863","1.1915","1.2410","1.1424","469.20M","-0.43%"
"12/03/2024","1.1915","1.2021","1.3251","1.1544","913.01M","-0.89%"
"12/02/2024","1.2021","1.1486","1.2387","1.0572","961.32M","4.66%"
"12/01/2024","1.1486","1.0779","1.1624","1.0379","421.72M","6.56%"
"11/30/2024","1.0779","1.0757","1.1487","1.0511","420.65M","0.20%"
"11/29/2024","1.0757","1.0318","1.0980","1.0276","401.23M","4.25%"
