"Date","Price","Open","High","Low","Vol.","Change %"
"03/04/2025","20.00","20.83","21.10","18.95","18.75M","-4.56%"
"03/03/2025","20.96","24.91","25.10","20.61","14.65M","-16.03%"
"03/02/2025","24.96","21.83","24.99","21.58","16.86M","14.15%"
"03/01/2025","21.86","22.37","22.49","21.06","5.05M","-2.27%"
"02/28/2025","22.37","22.54","22.60","20.26","13.79M","-0.68%"
"02/27/2025","22.52","21.90","23.37","21.67","8.20M","2.97%"
"02/26/2025","21.88","21.94","22.55","21.02","10.80M","-0.31%"
"02/25/2025","21.94","21.98","22.33","20.33","16.56M","0.25%"
"02/24/2025","21.89","24.90","25.18","21.61","9.31M","-11.92%"
"02/23/2025","24.85","25.84","25.98","24.41","4.56M","-3.78%"
"02/22/2025","25.83","24.46","26.36","24.44","7.03M","5.26%"
"02/21/2025","24.54","25.18","26.49","23.78","11.70M","-2.44%"
"02/20/2025","25.15","23.74","25.34","23.73","6.61M","5.94%"
"02/19/2025","23.74","23.47","24.01","23.02","5.69M","0.95%"
"02/18/2025","23.52","25.03","25.11","22.95","7.26M","-6.04%"
"02/17/2025","25.03","24.86","25.95","24.44","5.78M","0.66%"
"02/16/2025","24.86","25.49","25.58","24.76","3.63M","-2.46%"
"02/15/2025","25.49","26.39","26.96","25.39","3.31M","-3.40%"
"02/14/2025","26.39","25.40","27.20","25.30","6.48M","3.90%"
"02/13/2025","25.40","26.50","26.60","25.11","5.54M","-4.17%"
"02/12/2025","26.50","25.40","27.07","24.33","8.83M","4.33%"
"02/11/2025","25.40","25.67","27.01","24.91","6.75M","-1.04%"
"02/10/2025","25.67","24.88","25.98","23.88","6.44M","3.15%"
"02/09/2025","24.88","24.59","25.51","23.70","5.83M","1.19%"
"02/08/2025","24.59","24.47","24.81","23.93","4.24M","0.51%"
"02/07/2025","24.47","24.52","26.19","23.71","8.92M","-0.23%"
"02/06/2025","24.52","25.83","26.81","24.32","6.76M","-5.06%"
"02/05/2025","25.83","26.47","27.40","25.65","7.54M","-2.39%"
"02/04/2025","26.47","28.40","28.63","25.55","14.83M","-6.82%"
"02/03/2025","28.40","27.61","28.75","21.57","46.96M","2.88%"
"02/02/2025","27.61","32.12","32.58","25.99","18.67M","-14.04%"
"02/01/2025","32.12","34.41","35.09","31.88","5.90M","-6.65%"
"01/31/2025","34.40","34.30","36.15","33.81","7.37M","0.31%"
"01/30/2025","34.30","32.78","34.69","32.45","5.41M","4.61%"
"01/29/2025","32.79","32.08","33.82","31.92","7.39M","2.19%"
"01/28/2025","32.08","34.20","34.51","31.84","6.22M","-6.16%"
"01/27/2025","34.19","35.75","35.98","32.88","14.04M","-4.39%"
"01/26/2025","35.76","37.45","38.15","35.75","6.03M","-3.12%"
"01/25/2025","36.91","35.33","37.01","34.91","5.80M","4.47%"
"01/24/2025","35.33","35.55","36.78","34.57","6.75M","-0.62%"
"01/23/2025","35.55","36.79","36.94","34.67","9.45M","-3.38%"
"01/22/2025","36.79","36.95","37.77","36.54","6.14M","-0.40%"
"01/21/2025","36.94","36.01","37.58","34.54","9.55M","2.61%"
"01/20/2025","36.00","35.71","39.73","34.51","25.70M","0.82%"
"01/19/2025","35.71","39.25","40.54","35.10","20.28M","-9.00%"
"01/18/2025","39.24","41.37","41.65","38.38","9.28M","-5.14%"
"01/17/2025","41.37","40.05","41.82","40.05","8.00M","3.29%"
"01/16/2025","40.05","39.82","40.49","38.34","10.04M","0.57%"
"01/15/2025","39.82","36.56","40.01","36.22","10.23M","8.97%"
"01/14/2025","36.54","35.30","36.71","35.01","5.14M","3.53%"
"01/13/2025","35.30","36.54","37.35","32.95","11.20M","-3.41%"
"01/12/2025","36.54","37.12","37.58","36.11","2.99M","-1.55%"
"01/11/2025","37.12","36.67","37.77","36.03","3.27M","1.20%"
"01/10/2025","36.68","36.18","37.91","35.96","7.80M","1.37%"
"01/09/2025","36.18","37.42","37.92","35.53","7.32M","-3.30%"
"01/08/2025","37.42","39.20","39.93","36.23","10.79M","-4.56%"
"01/07/2025","39.21","44.06","44.52","39.21","13.45M","-11.02%"
