"Date","Price","Open","High","Low","Vol.","Change %"
"04/05/2025","2.4430","2.5070","2.5320","2.4030","4.19M","-2.59%"
"04/04/2025","2.5080","2.5080","2.5720","2.4010","12.33M","0.04%"
"04/03/2025","2.5070","2.4510","2.5500","2.3640","12.26M","2.37%"
"04/02/2025","2.4490","2.6490","2.7250","2.4060","15.53M","-7.55%"
"04/01/2025","2.6490","2.5090","2.6990","2.4820","9.74M","5.54%"
"03/31/2025","2.5100","2.5930","2.6290","2.4690","13.15M","-3.13%"
"03/30/2025","2.5910","2.5670","2.7760","2.5470","9.52M","0.97%"
"03/29/2025","2.5660","2.7340","2.7700","2.5220","9.04M","-6.11%"
"03/28/2025","2.7330","3.0120","3.0400","2.6700","12.06M","-9.29%"
"03/27/2025","3.0130","2.9850","3.0900","2.9410","7.40M","0.97%"
"03/26/2025","2.9840","3.0280","3.0730","2.9340","7.25M","-1.39%"
"03/25/2025","3.0260","2.9210","3.0750","2.8980","7.61M","3.52%"
"03/24/2025","2.9230","2.7760","3.0300","2.7600","11.25M","5.22%"
"03/23/2025","2.7780","2.7300","2.7950","2.7150","3.70M","1.68%"
"03/22/2025","2.7320","2.7140","2.7930","2.7130","4.22M","0.63%"
"03/21/2025","2.7150","2.7390","2.7820","2.6850","5.27M","-0.95%"
"03/20/2025","2.7410","2.7930","2.8100","2.6770","7.59M","-1.76%"
"03/19/2025","2.7900","2.5860","2.8220","2.5600","19.16M","7.93%"
"03/18/2025","2.5850","2.6400","2.6530","2.5040","8.12M","-1.97%"
"03/17/2025","2.6370","2.5170","2.6850","2.5080","10.20M","4.77%"
"03/16/2025","2.5170","2.6440","2.6680","2.4860","10.07M","-4.73%"
"03/15/2025","2.6420","2.6080","2.6940","2.6030","7.41M","1.34%"
"03/14/2025","2.6070","2.5730","2.7120","2.5530","21.54M","1.36%"
"03/13/2025","2.5720","2.5560","2.6560","2.4800","13.18M","0.63%"
"03/12/2025","2.5560","2.4490","2.5740","2.3480","16.46M","4.37%"
"03/11/2025","2.4490","2.2860","2.5630","2.1470","24.95M","7.22%"
"03/10/2025","2.2840","2.5550","2.6740","2.2400","24.75M","-10.50%"
"03/09/2025","2.5520","2.8850","2.9000","2.4980","13.58M","-11.54%"
"03/08/2025","2.8850","2.9410","2.9700","2.8300","8.64M","-1.94%"
"03/07/2025","2.9420","3.0590","3.0950","2.8860","27.73M","-3.73%"
"03/06/2025","3.0560","2.9960","3.2490","2.9550","16.89M","2.24%"
"03/05/2025","2.9890","2.8120","3.0480","2.7770","16.30M","6.33%"
"03/04/2025","2.8110","2.9670","2.9790","2.5720","32.59M","-5.42%"
"03/03/2025","2.9720","3.5580","3.5600","2.9170","23.61M","-16.38%"
"03/02/2025","3.5540","3.2740","3.5600","3.1760","21.23M","8.69%"
"03/01/2025","3.2700","3.0690","3.3220","3.0510","11.69M","6.65%"
"02/28/2025","3.0660","3.0630","3.1020","2.7690","19.80M","0.26%"
"02/27/2025","3.0580","3.0250","3.1780","3.0020","11.70M","1.19%"
"02/26/2025","3.0220","3.0080","3.1060","2.8830","13.04M","0.43%"
"02/25/2025","3.0090","3.0640","3.0900","2.7590","26.05M","-1.76%"
"02/24/2025","3.0630","3.4350","3.4590","3.0470","14.65M","-10.67%"
"02/23/2025","3.4290","3.4660","3.4980","3.3520","6.39M","-1.12%"
"02/22/2025","3.4680","3.3040","3.6320","3.2940","12.08M","4.81%"
"02/21/2025","3.3090","3.4720","3.6320","3.2240","15.10M","-4.56%"
"02/20/2025","3.4670","3.1560","3.5060","3.1490","16.27M","9.78%"
"02/19/2025","3.1580","3.1420","3.1920","3.0600","8.51M","0.64%"
"02/18/2025","3.1380","3.2590","3.3110","3.0310","11.11M","-3.71%"
"02/17/2025","3.2590","3.4080","3.4960","3.2210","13.53M","-4.65%"
"02/16/2025","3.4180","3.4030","3.5540","3.3630","8.01M","0.38%"
"02/15/2025","3.4050","3.5510","3.6060","3.3780","7.53M","-4.08%"
"02/14/2025","3.5500","3.3830","3.6300","3.3400","13.09M","5.19%"
"02/13/2025","3.3750","3.4380","3.4400","3.2530","10.80M","-1.49%"
"02/12/2025","3.4260","3.2000","3.4620","3.1110","21.10M","7.03%"
"02/11/2025","3.2010","3.2160","3.3880","3.1310","12.91M","-0.22%"
"02/10/2025","3.2080","3.1800","3.3050","3.0680","16.74M","0.88%"
